LATITUDE;LONGITUDE;PADRAO;CHURRASQUEIRA;PISCINA;PLAYGROUND;PORTARIA;SALAO_FESTAS;QUADRA_POLIESPORTIVA;VAGAS_GARAGEM;BANHEIROS;QUARTOS;AREA;VALOR
-23.52;-46.68;3;1;1;1;1;1;1;2;1;3;108.2;950000
-23.56;-46.61;2;0;0;0;0;0;0;0;0;2;82.88;314000
-23.45;-46.53;2;1;1;0;1;1;1;2;1;3;94.77;504000
-23.50;-46.50;1;0;0;0;0;1;1;1;0;3;54.49;240000
-23.53;-46.39;2;0;0;0;0;0;0;0;0;2;42.6;110000
-23.62;-46.74;2;1;1;1;1;1;1;2;1;3;87.7;497000
-23.53;-46.52;2;1;1;1;0;1;0;1;1;3;62.36;300000
-23.63;-46.45;2;1;0;1;1;1;1;1;0;2;60;200000
-23.60;-46.66;2;0;1;1;1;1;0;1;0;1;46.01;380000
-23.64;-46.73;2;0;1;1;1;1;1;1;0;2;52.17;210000
-23.67;-46.75;1;1;0;1;1;1;1;1;0;2;45.22;230000
-23.52;-46.68;2;0;0;0;0;0;0;1;0;0;79.52;925000
-23.69;-46.67;2;1;0;0;1;1;1;1;0;2;48.41;250000
-23.63;-46.47;1;0;0;0;1;0;0;1;0;2;63.07;190000
-23.62;-46.74;2;0;1;0;1;1;0;3;3;3;114.12;675000
-23.62;-46.74;2;0;1;0;1;1;0;3;3;3;114.12;675000
-23.62;-46.74;2;0;1;0;1;1;0;3;3;3;114.12;675000
-23.92;-46.06;2;0;0;0;0;0;0;0;0;1;30.58;135342
-23.54;-46.63;2;0;0;0;0;0;0;0;0;1;22.9;200000
-23.54;-46.63;2;0;0;0;1;0;0;0;0;1;17;160000
-23.54;-46.63;2;0;0;0;0;0;0;0;0;1;30.48;180000
-23.54;-46.63;2;0;0;0;0;0;0;0;0;1;53.3;207000
-23.54;-46.63;2;0;0;0;0;0;0;0;0;1;53.3;207000
-23.54;-46.63;2;0;0;0;0;0;0;0;0;1;46.09;190000
-23.54;-46.63;2;0;0;0;1;0;0;0;0;1;43.41;180000
-23.55;-46.62;1;0;0;0;1;0;0;0;0;1;32.41;115000
-23.55;-46.62;2;0;1;1;1;1;0;1;0;2;37.62;230000
-23.55;-46.62;2;0;0;0;1;0;0;0;0;1;22.13;175000
-23.55;-46.63;2;0;0;0;1;0;0;1;0;3;87.59;354000
-23.55;-46.62;1;0;0;0;0;0;0;0;0;0;25.59;150000
-23.55;-46.62;2;0;0;0;0;0;0;0;0;1;35.93;175000
-23.55;-46.62;2;0;0;0;1;0;0;0;0;2;80;310000
-23.55;-46.62;1;0;0;0;0;0;0;0;0;0;25.59;150000
-23.92;-46.05;1;0;0;0;0;0;0;0;0;2;57.1;270000
-23.53;-46.63;2;0;0;0;1;0;0;0;1;2;103.8;450000
-23.53;-46.63;2;0;0;0;1;0;0;0;0;1;51.85;186000
-23.53;-46.63;1;0;0;0;1;0;0;0;0;1;44.95;220000
-23.53;-46.63;2;0;0;0;1;0;0;0;0;3;78.2;255000
-23.53;-46.63;2;1;1;0;1;1;0;1;1;1;40.5;417000
-23.53;-46.63;2;0;1;0;1;1;0;1;1;2;51.76;585000
-23.53;-46.63;1;1;1;1;1;1;0;1;0;0;31.94;310000
-23.53;-46.63;2;0;1;0;1;1;0;1;0;1;40.5;410000
-23.54;-46.63;2;0;0;0;1;0;0;0;0;1;27.92;155000
